¿œΩ√,∆Ú±’±‚ø¬,√÷¥Î«≥º”,∆Ú±’«≥º”
2010-11-07,15.2,7.8,2.5
2010-11-08,12,11.4,7.5
2010-11-09,5.5,11.8,3.1
2010-11-10,6.4,4.3,2.2
2010-11-11,11.9,13.2,2.8
2010-11-12,11.6,11.8,6.7
2010-11-13,13.2,7.9,3.5
2010-11-14,11.1,9.2,5
2010-11-15,4.5,10.9,4.1
2010-11-16,7.4,5.1,1.9
2010-11-17,7.7,7.8,3.9
2010-11-18,8.8,6.5,2.7
2010-11-19,11.4,7.7,5.1
2010-11-20,11.6,6.4,2.2
2010-11-21,13.6,8.6,4.3
2010-11-22,11,16.6,8.8
2010-11-23,6.4,8.5,5.2
2010-11-24,8.6,4.6,1.8
2010-11-25,9.8,7.1,3.9
2010-11-26,5.6,9.9,3.9
2010-11-27,7.4,11.2,6.5
2010-11-28,3.9,10.7,4.2
2010-11-29,6.8,10.3,3.7
2010-11-30,11.4,10,5.8
2010-12-01,13.1,8.7,5.1
2010-12-02,12.9,6.3,4.2
2010-12-03,6.7,11.1,5.7
2010-12-04,7.5,7.5,3.7
2010-12-05,12.8,10.9,5.4
2010-12-06,8.3,13.7,5.6
2010-12-07,3.1,13,6.4
2010-12-08,3.2,7.8,3.4
2010-12-09,2.2,10.9,5.9
2010-12-10,7.8,13.7,5.4
2010-12-11,4.8,13.5,5.4
2010-12-12,2.8,4.2,1.8
2010-12-13,7.1,7.3,3.6
2010-12-14,4.1,12.8,5.1
2010-12-15,-2.9,5.8,2.4
2010-12-16,-2.4,4.6,2.1
2010-12-17,1.8,8.7,4.3
2010-12-18,3.3,5.3,2.3
2010-12-19,9,10.5,7.6
2010-12-20,9.2,9.6,2.9
2010-12-21,9.4,9.6,2
2010-12-22,7.7,8.4,5.2
2010-12-23,6.2,7,3.3
2010-12-24,-3.4,11.9,3.7
2010-12-25,-4.5,10.1,5.3
2010-12-26,-2.5,13.4,6.1
2010-12-27,0.5,8.1,4
2010-12-28,3.6,8.9,4.6
2010-12-29,1,7.1,2.5
2010-12-30,-0.9,8.4,4.3
2010-12-31,-1.9,12,7.8
2011-01-01,0.8,19,11.1
2011-01-02,0.1,8.5,6
2011-01-03,-0.3,10.2,6.5
2011-01-04,1.7,6.8,3.1
2011-01-05,1.2,6.9,4.1
2011-01-06,-2.3,11.5,5.9
2011-01-07,-0.4,6.7,2.4
2011-01-08,2.4,7.6,3.3
2011-01-09,-1.5,14,5.4
2011-01-10,-1.7,6.5,2.6
2011-01-11,-0.1,6.6,2.4
2011-01-12,-3,7.2,3.2
2011-01-13,-0.9,5.2,2.3
2011-01-14,1,7.3,3.1
2011-01-15,-4.8,10.4,5.6
2011-01-16,-4.9,10.5,5.6
2011-01-17,-0.5,9.3,3.6
2011-01-18,-0.8,7.4,3
2011-01-19,-1.7,9.1,2.9
2011-01-20,-2.7,5.7,2.5
2011-01-21,-0.2,5.1,2
2011-01-22,-0.5,4.9,2
2011-01-23,0.7,8.7,3.2
2011-01-24,-1.8,8.2,4.6
2011-01-25,-1.9,10.1,4
2011-01-26,-3,8.6,3.8
2011-01-27,-2.7,6.1,2.8
2011-01-28,-1.8,3.8,1.7
2011-01-29,-4,8.5,3.2
2011-01-30,-6.2,4.7,1.9
2011-01-31,-2.3,7.3,3.3
2011-02-01,3.1,4.9,2
2011-02-02,4.5,5.3,2.5
2011-02-03,5.4,4.5,2.4
2011-02-04,5.3,9.1,3.5
2011-02-05,3.8,6.5,2.4
2011-02-06,5.5,10,4.6
2011-02-07,2.3,8.8,3.5
2011-02-08,4.2,9.3,4.2
2011-02-09,0.1,10.3,5.2
2011-02-10,-2.1,7.8,5
2011-02-11,-1.9,9.1,5.7
2011-02-12,-2.9,17.6,9.7
2011-02-13,-2.6,6.9,4.2
2011-02-14,-1.1,12.6,7
2011-02-15,1.3,7.5,4.5
2011-02-16,4.5,8.8,4.3
2011-02-17,3.2,9.5,4.4
2011-02-18,1.2,12.1,5.6
2011-02-19,4.8,7.9,5.4
2011-02-20,3.7,9.8,6.3
2011-02-21,2.3,7,4.8
2011-02-22,5.1,3.4,2
2011-02-23,7.1,7.5,4.1
2011-02-24,9.6,10.2,6.2
2011-02-25,3.7,11.9,5.9
2011-02-26,3,4.4,2.4
2011-02-27,4.4,12.3,5.3
2011-02-28,3.4,12.8,7.4
2011-03-01,2.7,9.6,3.2
2011-03-02,-1.3,14.2,4.9
2011-03-03,-0.8,6.1,2.8
2011-03-04,0.1,5.8,2.5
2011-03-05,4.2,8.9,5.2
2011-03-06,4.6,9.7,2.9
2011-03-07,1.8,11.6,3.6
2011-03-08,2.4,8.2,2.9
2011-03-09,-0.2,9.2,4.2
2011-03-10,2.5,7.8,4
2011-03-11,3.6,7.4,2.9
2011-03-12,8.1,10.3,5.5
2011-03-13,10.6,9.2,4.4
2011-03-14,8.4,10.9,7.1
2011-03-15,3,9.6,3.8
2011-03-16,-1.5,11.7,4.8
2011-03-17,-0.3,7.2,4.1
2011-03-18,6.2,10.3,6.6
2011-03-19,9.2,12.7,6.2
2011-03-20,6.1,10.8,3.8
2011-03-21,5.9,7.2,3.4
2011-03-22,1.2,14.5,5.8
2011-03-23,2,6.3,2.9
2011-03-24,3.5,8.4,3.2
2011-03-25,-0.2,13.4,5.3
2011-03-26,-0.3,6.2,2.7
2011-03-27,4.6,5.2,3.7
2011-03-28,6.9,4.3,2.1
2011-03-29,6.4,5.5,2.7
2011-03-30,8.5,7.7,3.9
2011-03-31,9.5,7.6,3.4
2011-04-01,12.7,11.5,5
2011-04-02,4.2,12.6,5.9
2011-04-03,4.7,6.3,3.3
2011-04-04,5.9,5.4,3
2011-04-05,8,6.7,4.2
2011-04-06,10.6,9.2,6.1
2011-04-07,10.7,13.9,8.3
2011-04-08,8.6,12.1,5.4
2011-04-09,11.7,11.2,5.9
2011-04-10,13.9,12.9,7.4
2011-04-11,6.9,11.3,3.3
2011-04-12,11.5,12.7,7
2011-04-13,15,10.5,5.3
2011-04-14,15.7,10,4
2011-04-15,15.9,18.8,8.8
2011-04-16,5.9,18.9,7
2011-04-17,7.2,4.7,1.9
2011-04-18,6.2,17.9,7
2011-04-19,4.4,21.6,12.1
2011-04-20,8.1,9.3,5
2011-04-21,12.4,7.1,2.5
2011-04-22,8.5,9,3
2011-04-23,8.6,5.8,2.5
2011-04-24,9.8,10,5.5
2011-04-25,10.9,10.9,6.8
2011-04-26,9.5,12.9,4.5
2011-04-27,9.1,9.4,3.7
2011-04-28,6.7,8.2,4.4
2011-04-29,11.7,8.5,6.2
2011-04-30,13.3,16.4,9
2011-05-01,14.9,11.9,5.5
2011-05-02,13.7,9.7,4.6
2011-05-03,14.7,9.6,4.8
2011-05-04,9.1,10.7,4.5
2011-05-05,9.1,4.3,2.7
2011-05-06,11.8,8.2,2.8
2011-05-07,16.9,13.3,7.6
2011-05-08,15.5,10.3,4.5
2011-05-09,16.5,13.2,9
2011-05-10,13.4,12.2,4.3
2011-05-11,10.4,9,6
2011-05-12,10.8,10.5,4
2011-05-13,15.1,10.8,6.9
2011-05-14,17.1,11.5,5.2
2011-05-15,18.5,13.9,7
2011-05-16,11.9,5.4,1.9
2011-05-17,13.4,5.9,2.5
2011-05-18,16.9,11.5,6.6
2011-05-19,18.1,15.3,10.5
2011-05-20,18.5,15.1,8.9
2011-05-21,14.1,9.1,4.4
2011-05-22,11.9,4.5,1.9
2011-05-23,12.9,5.6,2.1
2011-05-24,15.2,7.6,4.3
2011-05-25,15.5,7.9,2.6
2011-05-26,14.6,6.3,2.7
2011-05-27,13.7,5.8,2.7
2011-05-28,14.3,7.7,4
2011-05-29,12.7,11.6,7.9
2011-05-30,13.1,9.6,3.6
2011-05-31,12.4,9.8,3
2011-06-01,13.6,7,3.1
2011-06-02,13.4,3.7,1.3
2011-06-03,14.6,8.5,5.9
2011-06-04,20.7,12,6.2
2011-06-05,21,9.2,3.6
2011-06-06,22.1,8.1,3.3
2011-06-07,20.6,8.2,4.8
2011-06-08,20.5,9.9,5.9
2011-06-09,21.3,10.2,4.2
2011-06-10,22,7.8,3.2
2011-06-11,21.7,8.3,4.4
2011-06-12,19.5,6.2,2.7
2011-06-13,18,6.7,2.1
2011-06-14,17.6,5.7,2.7
2011-06-15,17.9,4.9,2.1
2011-06-16,18.2,6,3
2011-06-17,19.8,3.3,1.6
2011-06-18,19.5,4.4,1.9
2011-06-19,21.7,2.6,1.4
2011-06-20,20.1,5.8,1.9
2011-06-21,23.7,6.5,4.2
2011-06-22,23.6,12.6,8.5
2011-06-23,21.6,14.6,11.1
2011-06-24,17.2,14.4,6.2
2011-06-25,15.7,8.8,5.7
2011-06-26,17.2,8.2,4.5
2011-06-27,18.9,12.3,8.6
2011-06-28,23.2,11.9,7
2011-06-29,24.3,12.3,8
2011-06-30,24.5,10.7,8.2
2011-07-01,22.2,10.8,3.6
2011-07-02,21.4,6.3,2.3
2011-07-03,21,14.1,6.6
2011-07-04,23.5,5.8,1.8
2011-07-05,25.1,8,3.5
2011-07-06,20.3,8.6,4.7
2011-07-07,20.4,11.8,3.2
2011-07-08,23.2,12.8,9.9
2011-07-09,20.8,12.2,7.6
2011-07-10,22,11.4,7
2011-07-11,23.3,6.7,2.9
2011-07-12,24.4,7.9,4.5
2011-07-13,23.3,9.6,5.7
2011-07-14,23.5,10.2,7.3
2011-07-15,23.5,9.5,6.3
2011-07-16,25.1,8.6,5.5
2011-07-17,24.6,6,3.4
2011-07-18,24.4,8.2,5.6
2011-07-19,23.5,15.5,10.2
2011-07-20,19.9,17.2,11.8
2011-07-21,18.8,11,7.1
2011-07-22,18.4,5,2.2
2011-07-23,19.5,2.6,1.1
2011-07-24,20.4,2.5,0.9
2011-07-25,21,3.1,1.6
2011-07-26,23.1,7.4,4.5
2011-07-27,23.2,12.4,7.5
2011-07-28,25.6,12.6,8.2
2011-07-29,26.3,7.4,3
2011-07-30,22.6,6.2,2.1
2011-07-31,21.8,4.2,2.2
2011-08-01,22.6,3.6,1.5
2011-08-02,22.9,4.5,2.8
2011-08-03,24.5,3.2,1.5
2011-08-04,25.9,6.4,3.3
2011-08-05,26.2,4,2.1
2011-08-06,25.9,4.1,2.1
2011-08-07,27,3.2,1.6
2011-08-08,25.2,9.4,4.1
2011-08-09,24.9,10.4,8.2
2011-08-10,26.3,12,7.6
2011-08-11,27.6,5.6,2.7
2011-08-12,26.6,4.4,1.8
2011-08-13,25.7,8.9,4.9
2011-08-14,25.2,9.3,6.8
2011-08-15,26.4,5.3,2.5
2011-08-16,27,11.6,4
2011-08-17,24.6,11,4
2011-08-18,21.6,7.8,5.1
2011-08-19,22.7,4.4,1.5
2011-08-20,21.5,4.3,1.5
2011-08-21,22.2,5.2,2.9
2011-08-22,22.1,4.6,2.6
2011-08-23,21.7,5.6,4.1
2011-08-24,20.6,8.9,6.4
2011-08-25,22.1,7.5,4.9
2011-08-26,22.2,6,4.1
2011-08-27,22.4,4.6,2.8
2011-08-28,23.1,3.4,2.2
2011-08-29,23.1,3.3,1.6
2011-08-30,22.8,3.6,1.8
2011-08-31,23.2,3.5,1.8
2011-09-01,24.3,5.8,3.1
2011-09-02,22.7,12.7,8.2
2011-09-03,21,16.1,12.5
2011-09-04,20.5,15,10.6
2011-09-05,19.5,14.8,7
2011-09-06,21,7.8,4.1
2011-09-07,22.3,6.1,2.7
2011-09-08,21.9,7.1,4.4
2011-09-09,21.6,10.3,3.5
2011-09-10,17.9,10.2,4.9
2011-09-11,20.3,8.2,3.7
2011-09-12,21.8,7,1.8
2011-09-13,21.7,4.5,1.4
2011-09-14,23.6,4.7,3.3
2011-09-15,24,4.7,3.5
2011-09-16,25.2,5.6,2.7
2011-09-17,21.7,9.4,5.6
2011-09-18,17.9,13.3,9.5
2011-09-19,15.9,12.7,8.3
2011-09-20,15.5,11.3,8
2011-09-21,16.9,11.8,9.4
2011-09-22,17,7.8,3.8
2011-09-23,17,6.7,3.2
2011-09-24,17.2,2.8,0.5
2011-09-25,18.9,3.4,1.3
2011-09-26,18.7,2.1,0.3
2011-09-27,18.5,5,2.5
2011-09-28,19.2,3.5,1.7
2011-09-29,17.6,5.1,2.4
2011-09-30,16.1,10.6,4.9
2011-10-01,15.1,7.1,2.3
2011-10-02,14,8.4,3
2011-10-03,13.7,4.6,1.5
2011-10-04,15.9,4.3,2.2
2011-10-05,16.8,5.3,2.4
2011-10-06,17.1,9.2,3.9
2011-10-07,16,4.7,1.5
2011-10-08,16.9,2.8,1.1
2011-10-09,18,8,5.1
2011-10-10,19,7.5,1.8
2011-10-11,16.9,4.9,1.9
2011-10-12,17.3,4.7,2.2
2011-10-13,19.2,5.1,2.5
2011-10-14,17.7,5.7,1.8
2011-10-15,16.7,12.5,4.3
2011-10-16,15.6,11.9,8.7
2011-10-17,13.6,10.5,3.1
2011-10-18,12.1,5.2,2.1
2011-10-19,14.4,4.5,2.3
2011-10-20,15.1,5.3,3.3
2011-10-21,15,11.8,4.5
2011-10-22,14.4,15.4,11.3
2011-10-23,15.5,8.4,3.5
2011-10-24,15.9,7.9,3.6
2011-10-25,8.7,10.5,4.4
2011-10-26,10.8,4.1,2
2011-10-27,12.9,2.9,1.6
2011-10-28,15,2.3,1.2
2011-10-29,14.3,6.5,3.8
2011-10-30,13.7,9.3,6.4
2011-10-31,14,6.8,4.5
2011-11-01,15.9,3,1.5
2011-11-02,17.8,7.1,2.4
2011-11-03,17,5.8,2.7
2011-11-04,17.9,2.6,1.2
2011-11-05,17.3,9.9,4.3
2011-11-06,13.1,9.8,7.3
2011-11-07,12.7,8.7,5.3
2011-11-08,10.9,8.8,6.2
2011-11-09,10.2,8,5.8
2011-11-10,11,6.1,3.5
2011-11-11,12.7,3,1.4
2011-11-12,13.6,4.5,1.7
2011-11-13,13.4,6.5,2.4
2011-11-14,11.4,10,4.2
2011-11-15,8.3,8.7,3.3
2011-11-16,11.7,7.1,4
2011-11-17,11.6,6,2.8
2011-11-18,15.5,10.8,4.4
2011-11-19,14.9,8.1,4.8
2011-11-20,5.7,10.5,3.9
2011-11-21,4.6,4.5,1.7
2011-11-22,7.6,4.1,1.5
2011-11-23,8.5,9.4,6.2
2011-11-24,3.1,7.4,3
2011-11-25,4.7,4.8,1.4
2011-11-26,9.7,9.1,5
2011-11-27,14,11.4,7.5
2011-11-28,16,7.3,4.2
2011-11-29,10.3,11.1,7.2
2011-11-30,3.2,14,10.9
2011-12-01,1.5,12.7,7.7
2011-12-02,5,9.3,6.7
2011-12-03,6.5,14.3,8.2
2011-12-04,6.8,4.8,1.4
2011-12-05,5.7,5.6,2.3
2011-12-06,6.8,9.6,3.6
2011-12-07,7.2,7.8,4.3
2011-12-08,2.3,14.5,7.2
2011-12-09,-0.2,12.6,6.2
2011-12-10,1.1,5.8,2.1
2011-12-11,4,5.2,2.2
2011-12-12,6.2,6.9,2.1
2011-12-13,5.7,6.4,2.1
2011-12-14,8.2,7.1,3.5
2011-12-15,2.3,7.2,3.4
2011-12-16,-2.8,7.1,2.4
2011-12-17,0.6,5.8,2.5
2011-12-18,2,4.2,1.2
2011-12-19,2,5.1,2.3
2011-12-20,2.6,4,1.4
2011-12-21,4,7.5,2.9
2011-12-22,-0.3,7.7,3.9
2011-12-23,-1.4,5.9,2.2
2011-12-24,-1.1,6.9,3.1
2011-12-25,-3.4,6.7,2.9
2011-12-26,-2.5,6.3,2.7
2011-12-27,0.1,4.7,1.2
2011-12-28,3.5,5.2,2.1
2011-12-29,0.6,10.5,5.6
2011-12-30,0.5,8.1,5.1
2011-12-31,3.5,4.8,1.9
2012-01-01,1.9,15.8,4.3
2012-01-02,-1.3,16.2,6.6
2012-01-03,0.2,9,3.7
2012-01-04,-1.6,10.9,4.5
2012-01-05,0,4.5,1.5
2012-01-06,-0.4,8.4,3.8
2012-01-07,-0.2,8.5,4.7
2012-01-08,2.6,6.4,2
2012-01-09,1.9,5.2,1.5
2012-01-10,2.5,7.8,2.6
2012-01-11,-2.6,11.8,5.6
2012-01-12,0,6.5,3
2012-01-13,0.9,7.1,2.3
2012-01-14,0.7,5.3,2
2012-01-15,1,6.3,3.7
2012-01-16,1.8,6.6,3.5
2012-01-17,3.3,4.3,1.1
2012-01-18,4.3,6.7,3
2012-01-19,5.1,12.8,7
2012-01-20,4.1,9.8,6.6
2012-01-21,3.4,8.1,4.3
2012-01-22,1.3,10,4.6
2012-01-23,-3.4,11.3,5.6
2012-01-24,-4.4,6.5,2.2
2012-01-25,-4.7,6,2.2
2012-01-26,-1.5,6,3.1
2012-01-27,1.3,7,2.4
2012-01-28,-0.1,8.7,3
2012-01-29,-2.2,8.5,4.6
2012-01-30,-2.8,8.1,2.7
2012-01-31,-0.5,12.4,3.9
2012-02-01,-5,6.3,3.1
2012-02-02,-7.2,9.6,3.8
2012-02-03,-3.4,6.1,2.4
2012-02-04,-0.8,8,3.5
2012-02-05,2.3,5.1,2.2
2012-02-06,4.2,5,1.9
2012-02-07,-1,13.8,5.5
2012-02-08,-5.7,5.3,1.4
2012-02-09,-2.7,6.4,1.5
2012-02-10,-0.8,5.3,0.7
2012-02-11,-0.7,,
2012-02-12,0.4,,
2012-02-13,4,,
2012-02-14,4.8,6,2.4
2012-02-15,-0.1,10.2,5
2012-02-16,-0.9,14.1,5.5
2012-02-17,-3.8,8.7,5
2012-02-18,-3.9,6.9,2.5
2012-02-19,-2.2,7.2,2.6
2012-02-20,1.5,5.8,3.2
2012-02-21,2.5,5.9,2.6
2012-02-22,4.6,2.9,1.5
2012-02-23,3.7,14.2,5.3
2012-02-24,1.2,8.4,4.6
2012-02-25,0.2,10.8,4.6
2012-02-26,-2.3,8.3,6.4
2012-02-27,-2.4,7.5,4.5
2012-02-28,1.4,2.3,1.2
2012-02-29,4.8,3.5,1.6
2012-03-01,5.9,4.7,2.5
2012-03-02,4.1,7.3,4.9
2012-03-03,2,9.9,6
2012-03-04,3.1,7.7,4.7
2012-03-05,3.4,10.6,7.8
2012-03-06,4.3,9.4,5
2012-03-07,4.8,5.5,2.4
2012-03-08,3.8,6.2,2.6
2012-03-09,2.7,9.4,7.4
2012-03-10,2.4,8.4,4
2012-03-11,0.6,10.4,4.8
2012-03-12,-2.4,9.4,4.4
2012-03-13,0.8,8.3,3.4
2012-03-14,5.6,8.3,5
2012-03-15,3.1,6.6,3.1
2012-03-16,6.5,6.2,3.1
2012-03-17,7.3,9.5,3.7
2012-03-18,2.4,11.6,6.9
2012-03-19,1.9,7.2,3.9
2012-03-20,3.1,8.4,3.5
2012-03-21,5.7,11.2,4.3
2012-03-22,8.7,12.5,4.6
2012-03-23,4.3,13.4,6.2
2012-03-24,2.6,7.3,4.1
2012-03-25,1.5,9.4,3.8
2012-03-26,2.9,8.4,4.2
2012-03-27,9.1,9.5,6.2
2012-03-28,7.9,12,5.6
2012-03-29,9.9,12.9,8.5
2012-03-30,11.1,12.8,8.9
2012-03-31,4.5,8.7,3.9
2012-04-01,2.9,9.8,3.5
2012-04-02,7.8,7.9,3.3
2012-04-03,5.3,14.5,6
2012-04-04,7.3,12.4,5.4
2012-04-05,7.3,9.6,4.2
2012-04-06,2.6,10.9,4.7
2012-04-07,2.5,5.8,2.9
2012-04-08,11.5,13.9,8.9
2012-04-09,14.2,10.9,4.8
2012-04-10,14,10.9,4.5
2012-04-11,9,12.5,6.6
2012-04-12,10,9.8,4.9
2012-04-13,10.2,9.8,3.4
2012-04-14,10.7,5.5,2.8
2012-04-15,12.6,6.9,5.4
2012-04-16,12.4,10.7,5.9
2012-04-17,9.7,7.2,3.9
2012-04-18,9.9,3.3,2.2
2012-04-19,10.2,6.2,3.7
2012-04-20,9.8,7.7,5
2012-04-21,10.2,7.8,5
2012-04-22,12,11.4,6.3
2012-04-23,14.7,10.7,6.3
2012-04-24,19.1,7.1,2.6
2012-04-25,15,6.5,3.4
2012-04-26,13.6,10,4.7
2012-04-27,13.6,6.9,3.3
2012-04-28,16.9,10.4,6.3
2012-04-29,16.5,5.3,2.4
2012-04-30,17.5,6.4,3.4
2012-05-01,17.8,5.2,2.2
2012-05-02,13.7,8.5,5.8
2012-05-03,11.8,15.5,7.4
2012-05-04,13.2,11,5.9
2012-05-05,16.6,9.9,4.1
2012-05-06,15,11.2,4.3
2012-05-07,17.5,6.7,3
2012-05-08,15.2,8.5,3.1
2012-05-09,13.7,5,2.2
2012-05-10,10.2,7.4,5.5
2012-05-11,9.3,7.6,5.3
2012-05-12,10.3,5.4,2.5
2012-05-13,13.9,6.7,4.4
2012-05-14,14.2,7.3,3.5
2012-05-15,15.1,7.4,2.9
2012-05-16,17.1,7,3.9
2012-05-17,13.1,11,4.3
2012-05-18,16.6,8.2,3.1
2012-05-19,17.4,8.1,5.1
2012-05-20,17,6.1,3.3
2012-05-21,17.7,6.2,3.8
2012-05-22,17.7,5.7,3.7
2012-05-23,17.7,5.9,3.7
2012-05-24,19.8,7.6,2.6
2012-05-25,17.9,6.9,2.6
2012-05-26,19.6,7.9,3
2012-05-27,19.8,8,3.2
2012-05-28,15,13.7,4.7
2012-05-29,14.7,5.2,2.2
2012-05-30,15.3,3.4,1.6
2012-05-31,15.5,4.3,2.2
2012-06-01,15.5,4.7,2.1
2012-06-02,15.3,4.9,2.8
2012-06-03,16.2,3.7,1.9
2012-06-04,18.1,6.2,4.4
2012-06-05,21,8.8,4.6
2012-06-06,21,10.3,4.8
2012-06-07,20.1,5.9,4.1
2012-06-08,19.6,6.9,4.1
2012-06-09,19.2,11.4,5
2012-06-10,18.8,7.7,2.2
2012-06-11,18.3,2.8,1.4
2012-06-12,18.3,7.7,4.1
2012-06-13,17.2,8.6,5
2012-06-14,17.6,6.9,4.4
2012-06-15,18.3,4.4,1.9
2012-06-16,17.7,10.7,5.1
2012-06-17,20.2,6.8,3.2
2012-06-18,20.6,6.3,4.1
2012-06-19,17.8,10.3,4.9
2012-06-20,17.7,7.9,3.6
2012-06-21,17.9,4.4,2.2
2012-06-22,18.1,4.5,1.8
2012-06-23,19.3,3.3,2
2012-06-24,18.5,6.2,3.3
2012-06-25,17.8,8.6,5.4
2012-06-26,16.4,7.5,5.2
2012-06-27,17,6.7,4.8
2012-06-28,18.2,8.3,5.5
2012-06-29,20.5,4.6,1.6
2012-06-30,20.9,9.6,5.4
2012-07-01,21.4,7.8,3.1
2012-07-02,22.7,6.4,2.9
2012-07-03,21.8,4.4,2
2012-07-04,24,6.8,3.3
2012-07-05,24.1,8.8,3.3
2012-07-06,20.6,17.5,6.6
2012-07-07,18.9,7.7,5.1
2012-07-08,19.5,5,2.4
2012-07-09,20.8,6.2,3.6
2012-07-10,21.1,4,1.8
2012-07-11,21.9,8.5,4.3
2012-07-12,23.2,5.8,2.1
2012-07-13,21.1,6.1,2.7
2012-07-14,21.9,3.7,1.3
2012-07-15,21.6,8.6,3.7
2012-07-16,20.6,3.6,1.2
2012-07-17,20.8,5.2,1.9
2012-07-18,22.2,5.8,3.5
2012-07-19,23.3,9.3,4.6
2012-07-20,25.3,6.7,2.6
2012-07-21,22.1,5.2,2.7
2012-07-22,22.1,3.7,1.8
2012-07-23,25.1,7.3,4.9
2012-07-24,27.7,7.9,3.8
2012-07-25,27.4,6.2,2.5
2012-07-26,27.2,6.4,2.9
2012-07-27,28.3,7.3,3.5
2012-07-28,27.7,4.7,1.5
2012-07-29,26.9,6.3,3.9
2012-07-30,27.6,7.1,4.8
2012-07-31,27.2,5.7,2.4
2012-08-01,26.5,7,3.7
2012-08-02,26.7,4.5,2.1
2012-08-03,26.5,4.4,2.5
2012-08-04,25.8,4.7,2.7
2012-08-05,26.3,5.8,3.2
2012-08-06,25.9,7.8,5
2012-08-07,24.6,7.2,4.4
2012-08-08,24.5,4.5,2.6
2012-08-09,24.6,2.7,1.6
2012-08-10,24.6,3.4,1.8
2012-08-11,25.1,3.8,2.3
2012-08-12,25.4,4.6,2.4
2012-08-13,22.1,9.5,4.7
2012-08-14,24.1,6.5,3.1
2012-08-15,25.2,11.8,7.3
2012-08-16,23.2,10.8,5.1
2012-08-17,24,5.5,2.7
2012-08-18,25.8,6.4,4.2
2012-08-19,26,9.1,6.3
