x1,x2,y
[-1.81809958],[0.38611071],1
[1.92774348],[-0.0583602],0
[-1.83032073],[-0.22638633],0
[-2.17051684],[0.36534694],1
[-2.49256128],[-0.20664221],0
[-2.2317952],[-0.44618474],0
[1.71216282],[0.95789467],1
[0.34247284],[-0.99348214],0
[1.60403152],[0.52377986],1
[-0.7437205],[0.95857278],1
[-0.8203462],[0.74800105],1
[-2.14336185],[-0.02153013],0
[1.76367951],[0.35960593],1
[-1.05004076],[-1.0368837],0
[-1.35205477],[0.87011437],1
[-1.33998128],[-0.727539],0
[-1.8113533],[-0.00655931],1
[1.64610972],[0.17918879],1
[-1.48348144],[-0.57923988],0
[0.5278937],[0.81580966],1
[1.68228709],[0.22358004],1
[1.8208774],[-0.73325872],0
[-2.11936316],[-0.071837],0
[-0.63906236],[1.07527189],1
[2.25020378],[0.24430927],1
[-1.81929383],[0.67286805],1
[-1.33801248],[-0.93500408],0
[1.68069251],[0.56779043],1
[2.02013226],[-0.73762149],0
[1.66746662],[-0.50085626],0
[0.58565739],[0.98857024],1
[0.78802475],[0.99014459],1
[-0.44764778],[1.09967046],1
[0.42564365],[0.89534503],1
[0.88270334],[-1.03836132],0
[1.72074652],[-0.37049447],0
[2.15097871],[-0.25662303],0
[0.90127404],[0.77200069],1
[1.94245445],[-0.27748971],0
[-0.79809187],[0.8838354],1
[-1.65565883],[-0.17411099],0
[2.00935758],[0.3685719],1
[2.13829213],[0.3308782],1
[-0.67669299],[1.0585147],1
[-1.43127945],[0.81530714],1
[1.45290499],[-0.69407346],0
[-1.80456256],[0.2275301],1
[0.91641159],[-0.93866907],0
[-2.19503655],[-0.04242594],0
[0.23689061],[0.90677285],1
[1.7471377],[0.60165492],1
[-0.42719503],[-0.98039106],0
[-2.15851777],[-0.18669745],0
[2.03659653],[-0.76264578],0
[1.29896564],[0.89198401],1
[0.77778826],[-1.12235787],0
[-0.20147321],[-1.05940657],0
[1.57109774],[-0.29063953],0
[-1.69850057],[-0.23612144],0
[-1.95294507],[0.4069802],1
[1.8643916],[0.29041],1
[1.71594115],[0.22582213],1
[-1.71968556],[0.4088771],1
[-1.68967833],[-0.79008878],0
[-1.42607379],[0.86686889],1
[1.43704419],[0.43750051],1
[-1.52792285],[-0.70262564],0
[-2.4058644],[0.1937033],1
[0.57221638],[0.80892947],1
[1.68214384],[0.00252346],0
[1.84291451],[0.58644585],1
[-1.25415491],[-0.51415059],0
[2.15309292],[-0.28052846],0
[-0.36223364],[-0.95414184],0
[0.10765309],[0.99702456],1
[-1.2207217],[-0.69479176],0
[0.87999171],[-0.85190557],0
[0.84974507],[0.69767992],1
[-1.95951419],[0.56385815],1
[-1.63993903],[-0.50294738],0
[1.16754354],[-0.77812284],0
[1.74042042],[-0.59393326],0
[-2.10443602],[-0.25863012],0
[2.18522531],[-0.17425788],1
[2.2859373],[0.1147935],1
[0.42660917],[-0.9378266],0
[1.3868678],[-0.74438095],0
[-2.14151344],[0.01751102],1
[-0.07997675],[-1.01069185],0
[1.78909633],[0.15257259],0
[1.86452283],[0.28149796],1
[0.10017386],[0.99626976],1
[2.23502736],[0.40207399],1
[0.38091991],[-0.82572752],0
[-1.68451379],[-0.73628427],0
[-1.99124896],[0.22921037],1
[-1.94317087],[0.65421815],1
[1.85769708],[-0.44255346],0
[2.37305625],[-0.17461688],0
[-1.62830652],[-0.66610735],0
[2.24888265],[-0.05286945],0
[-1.46867063],[-0.61062584],0
[-0.92321987],[-0.95789722],0
[1.37583671],[-0.41171173],0
[-1.45409213],[-0.84477346],0
[0.18758836],[0.755627],1
[-0.70671841],[-0.91161985],0
[-0.2108708],[0.72664561],1
[0.26726412],[-0.99005724],0
[-1.30934439],[-0.57458878],0
[-1.2718842],[0.6935862],1
[-0.4880879],[0.8835483],1
[1.01799741],[-0.99800967],0
[0.00777346],[-0.98920154],0
[-2.02541561],[-0.32313671],0
[1.53172077],[-0.66807858],0
[1.80135629],[0.59762479],1
[-0.06757146],[-0.81656703],0
[-1.660082],[-0.7532767],0
[-0.09893529],[-0.99967507],0
[-0.63381874],[-1.08581214],0
[-0.06408013],[0.90659179],1
[0.61293333],[-1.04746335],0
[1.67262232],[-0.65733977],0
[0.40120151],[1.01172123],1
[-2.14133624],[-0.36333048],0
[-1.23165157],[0.75727953],1
[0.60162764],[-0.92972669],0
[1.63892152],[-0.72963999],0
[1.24810532],[0.87917094],1
[1.31553306],[0.58354981],1
[-0.71236984],[-0.87797707],0
[1.782805],[0.38905081],1
[0.8370894],[0.78706046],1
[-2.18367193],[0.57130449],1
[-2.05389631],[-0.18821745],0
[-0.95737967],[-0.90864549],0
[2.19539898],[0.34158097],1
[0.54635477],[1.09365383],1
[-1.89605793],[-0.31831916],0
[-1.49635477],[-0.6339417],0
[1.91594488],[-0.03657935],0
[2.08081422],[0.23136542],1
[-1.70652558],[0.14523761],1
[-0.01139328],[-1.08153271],0
[1.05610839],[-0.81140163],0
[2.17311315],[0.28706354],1
[-1.641331],[0.59614994],1
[0.04970978],[1.02080108],1
[0.2579389],[1.01843135],1
[-0.92979038],[0.92165407],1
[-0.10956258],[0.7886944],1
[-0.06283149],[1.00042503],1
[-2.31270473],[-0.26919667],0
[0.69658244],[-0.86440947],0
[-1.16874426],[0.86375642],1
[-2.01961993],[0.27955702],1
[1.71050673],[0.28261354],1
[0.71174273],[1.1062871],1
[-1.28997344],[0.81857457],1
[1.83085746],[0.48916359],1
[-0.25427666],[0.92036317],1
[-1.26276337],[-0.92013199],0
[-0.74635315],[1.00889546],1
[0.71441342],[0.89505891],1
[1.86701995],[-0.57461253],0
[-1.67828657],[-0.39856451],0
[1.06224631],[-0.94458858],0
[1.72729067],[-0.9093786],0
[-1.81928989],[-0.67670306],0
[-1.17669169],[0.85308316],1
[-2.00011989],[-0.05288351],1
[1.80155741],[0.49283147],1
[1.78119026],[-0.36877783],0
[1.00018917],[0.92404895],1
[1.98624203],[-0.34018553],0
[2.02993226],[0.45610075],1
[0.95979722],[-1.01751241],0
[-2.10120944],[0.19198471],1
[1.01421368],[0.80705189],1
[-0.13514849],[1.03996522],1
[-0.43835553],[-0.83044286],0
[-2.26590183],[-0.10207492],0
[0.52304605],[-0.71847988],0
[0.2240728],[0.87565411],1
[-2.12918387],[0.01089097],1
[-2.23621672],[0.18410124],1
[-0.39805892],[1.00875393],1
[2.14968294],[-0.31412446],0
[1.80436083],[-0.58181198],0
[1.56910968],[-0.40008128],0
[-1.08319634],[-0.78677046],0
[1.75508477],[0.29919538],1
[-0.76938759],[-0.98087874],0
[1.27938447],[-0.74305435],0
[0.81033744],[0.98137138],1
[0.77823388],[-0.87336747],0
[1.74704499],[-0.58960152],0
[-1.34253694],[0.57959261],1
[-1.76465057],[0.03096818],1
[0.9795497],[-0.93619837],0
[-1.42548457],[-0.56851443],0
[1.93835642],[0.37784764],1
[2.09041777],[0.26517308],1
[-1.96353097],[-0.26646627],0
[-1.0597538],[1.11973225],1
[1.22923298],[0.91972668],1
[0.59303635],[-0.97735904],0
[1.01354377],[0.77610198],1
[1.80503856],[-0.5377347],0
[-2.31387549],[0.2747867],1
[-0.41129914],[0.87200286],1
[1.59856929],[-0.78909589],0
[0.61632697],[-0.97790685],0
[2.12465854],[0.53873818],1
[-2.10815617],[-0.35423738],0
[-1.42756036],[-0.69197191],0
[-1.8626353],[-0.02397989],1
[-1.05308478],[-1.2146777],0
[0.32828132],[-1.09029493],0
[-0.14647488],[0.83787377],1
[0.06798315],[-0.98062521],0
[-0.09940874],[1.00340217],1
[-1.62029338],[0.30227909],1
[-1.84798514],[-0.50007496],0
[-0.6760273],[0.92636197],1
[1.84980367],[0.42202051],1
[-1.99863477],[-0.50959883],0
[-2.00736493],[-0.4637209],0
[2.27127953],[0.06628824],1
[-1.94222379],[0.30230479],1
[2.27134735],[-0.38372639],0
[1.5814573],[0.73983069],1
[-1.778761],[-0.33374423],0
[-2.08785066],[0.38404308],1
[1.57315691],[0.53399882],1
[-1.85230566],[0.09474243],1
[-1.47677775],[0.41215999],1
[1.85976765],[-0.47120284],0
[1.7776415],[-0.25767257],0
[1.47242465],[0.80526729],1
[-0.84553476],[-1.05381533],0
[1.22220364],[0.74571489],1
[-0.24481848],[0.91938585],1
[-2.07344133],[0.33743094],1
[-1.64504189],[-0.7137217],0
[-0.0551889],[-0.99711738],0
[-1.64330549],[0.62245135],1
[1.815641],[0.42303283],1
[-0.98694144],[-0.60775013],0
[-1.79585622],[0.37545985],1
[-0.26799589],[0.98747849],1
[1.91345921],[-0.38923473],0
[1.85543562],[-0.09231357],0
[-0.71892953],[0.80230089],1
[0.99129026],[1.09395923],1
[-0.79335384],[0.9817519],1
[-0.21082082],[0.97426313],1
[0.70499424],[-1.03136578],0
[1.26440089],[-0.78231648],0
[0.63913725],[-1.0818141],0
[2.13700372],[-0.06560928],0
[-1.92601168],[0.13504102],1
[-1.94779411],[0.42901728],1
[-2.37039894],[0.09677994],1
[-2.6002878],[-0.03093508],0
[-0.67658061],[0.91471517],1
[1.55142776],[0.60139871],1
[0.65957973],[-0.83517543],0
[-1.15927045],[-0.88858006],0
[1.17647342],[0.8770666],1
[1.45371656],[-0.79579898],0
[-0.29446084],[-0.88358699],0
[1.72493843],[0.51411817],1
[1.50469675],[0.54181191],1
[2.02844454],[0.39781953],1
[-1.99571367],[-0.19774039],0
[-1.29172637],[0.70293201],1
[-1.52412573],[0.69204294],1
[-1.69197998],[0.26721811],1
[-1.28230441],[0.65256207],1
[1.24959565],[-0.84820322],0
[-1.57380221],[0.58754484],1
[-1.90692262],[0.36413911],1
[0.27842029],[0.91887981],1
[0.22122224],[-0.87498827],0
[0.75425655],[1.10188128],1
[-0.84671906],[0.86391768],1
[-1.57948027],[0.63172341],1
[1.75440655],[0.32920544],1
[-2.18666814],[0.12488752],1
[-1.40960394],[0.84573237],1
[-0.36948289],[0.87030836],1
[0.99293293],[-0.71076694],0
[-1.78460804],[0.16899075],1
[-2.36297771],[0.15051935],1
[-1.81393859],[-0.53987099],0
[1.72308475],[-0.40098917],0
[-0.67580016],[-0.90041351],0
[1.9767864],[-0.46467431],0
[0.57148866],[-1.00781387],0
[1.2284807],[0.86277117],1
[0.74054165],[-0.720401],0
[-0.0691141],[-0.84008861],0
[2.02066751],[-0.33654329],0
[-1.85365929],[0.01472796],1
[-0.89154361],[-0.83865261],0
[0.02078225],[0.90470036],1
[1.70756756],[-0.80924262],0
[1.66509717],[0.81785345],1
[-0.67320954],[1.03119184],1
[1.79210203],[-0.58186057],0
[-0.3905253],[0.94681819],1
[-0.7560441],[-1.17787751],0
[-0.95188179],[-0.77368853],0
[-0.97879573],[-0.844974],0
[-1.28521278],[-0.64396629],0
[-1.88217895],[0.35285984],1
[1.98873305],[-0.18845679],0
[-1.92409202],[0.23489338],1
[-1.55079994],[-0.85454341],0
[-1.51001224],[-0.56575885],0
[2.04776314],[-0.01840951],1
[-1.51978096],[-0.69778488],0
[1.89753512],[-0.431664],0
[1.67095478],[-0.23004532],0
[-1.27144583],[0.62354954],1
[1.49208881],[0.8498523],1
[-0.08171511],[0.94690849],1
[2.21469096],[0.42821241],1
[-1.81404763],[0.46941282],1
[-2.02730569],[-0.59262827],0
[1.50599045],[-0.87204078],0
[1.67066299],[-0.6528642],0
[-0.09928406],[0.86378573],1
[-1.02535456],[0.96527693],1
[-1.77095321],[0.47191745],1
[1.03160606],[-0.60940456],0
[-1.93457024],[0.26817048],1
[1.47817985],[-0.51429282],0
[-0.10570537],[0.94077247],1
[1.12313405],[-0.8190289],0
[2.53682702],[0.72133042],1
[-0.5683462],[-1.01483601],0
[1.64108299],[0.65807411],1
[-2.09469951],[0.1023913],1
[-1.2357749],[-0.49218216],0
[2.13828252],[-0.08894016],1
[1.06119522],[-1.03302535],0
[0.3826989],[0.8774262],1
[1.45933596],[-0.77298863],0
[0.15362007],[1.08139473],1
[-0.91767885],[-0.86083464],0
[2.25568],[0.09999283],1
[0.0002026],[0.93968549],1
[-1.75698289],[-0.61045927],0
[0.20419541],[0.9685482],1
[-0.03979957],[0.98147126],1
[-2.14518891],[-0.16434673],0
[-1.46624112],[-0.67901476],0
[-0.42284468],[0.82706657],1
[1.20940864],[0.81431194],1
[-0.50111011],[0.96342793],1
[0.67789889],[0.96345458],1
[1.59093111],[-0.35265619],0
[-1.80870652],[0.50202269],1
[-1.05516151],[-1.05364515],0
[2.05752321],[-0.34864026],0
[1.0815157],[0.98569675],1
[-1.57354284],[0.84271131],1
[2.07608014],[0.10847208],1
[0.85539425],[0.72881823],1
[1.18453318],[-0.81086424],0
[1.65041772],[0.78203325],1
[0.91307018],[0.63129213],1
[-0.68182837],[0.93518743],1
[-1.04481022],[-0.83765063],0
[0.47068359],[0.86926553],1
[0.95985647],[0.74440548],1
[-0.08409882],[-1.00444298],0
[-1.31402726],[-0.84383166],0
[-0.95294531],[0.84623874],1
[1.55001904],[0.87071667],1
[1.22713062],[0.88665406],1
[-1.24200268],[0.89031817],1
[0.03613807],[-0.99576539],0
[1.36701915],[0.62499513],1
[-1.24385228],[0.94352676],1
[2.12175139],[0.50222436],1
[1.2893551],[0.45965948],1
[-0.99562146],[0.88214592],1
[0.83710326],[1.05603263],1
[-0.20118011],[-0.96934426],0
[1.84709397],[0.15740793],1
[1.41088661],[-0.85824569],0
[1.51398863],[0.63397935],1
[-1.90259383],[0.12522505],1
[1.87326504],[-0.10614358],0
[1.2716186],[0.62667981],1
[2.01133043],[-0.1614801],0
[-0.52268475],[1.00420902],1
[-0.38127483],[-0.94732157],0
[-2.32860165],[0.18418605],1
[-0.93556298],[-0.7917017],0
[1.32084372],[-0.63104653],0
[0.37407263],[0.99920803],1
[-1.70435621],[0.29082644],1
[-1.66933283],[-0.28845048],0
[-1.31599798],[-0.94410295],0
[-1.10865578],[0.82619664],1
[0.70236657],[-0.84940049],0
[-0.94135345],[-0.95589141],0
[-1.27304836],[-0.88373676],0
[-2.41187695],[-0.14659103],0
[-1.10282277],[0.68577929],1
[-1.27305108],[0.65538295],1
[-0.03271865],[-1.0150305],0
[0.28237386],[1.03726997],1
[-1.83374445],[0.02998474],0
[1.61122472],[0.69153748],1
[-0.80087318],[0.76380972],1
[1.7125732],[-0.42806728],0
[0.62325163],[0.8924139],1
[-0.45873544],[-0.73103554],0
[1.75943638],[0.68915311],1
[1.11969077],[-0.75561379],0
[0.88303323],[-0.72846338],0
[-1.77666291],[0.33598978],1
[-2.40052058],[0.17485886],1
[1.88918919],[0.4545548],1
[-2.17452096],[0.0290204],0
[0.00484603],[-0.89239199],0
[-2.09491718],[0.38764595],1
[-0.27722545],[-0.76756509],0
[-1.42102991],[0.7802745],1
[-1.78486272],[-0.59018073],0
[-1.06969704],[0.83222022],1
[1.56826204],[-0.8244496],0
[1.16199816],[0.92166689],1
[-0.78233484],[-0.8352046],0
[0.16547074],[-0.98738142],0
[1.06051158],[-0.78721481],0
[1.08983899],[-0.91789106],0
[2.5855974],[0.11955374],1
[1.45229099],[-0.58888209],0
[-1.07644178],[1.01597171],1
[-0.0741467],[-1.08195704],0
[1.60567862],[-0.91430851],0
[1.80761615],[0.45296032],1
[0.44510014],[-1.04274752],0
[2.06209204],[0.21414556],1
[-0.38379151],[-1.11753525],0
[1.96346034],[0.17997523],1
[0.86698725],[-0.78553386],0
[1.6562852],[-0.47918498],0
[2.04554242],[0.04334387],0
[0.85031872],[-0.93985349],0
[1.89830938],[-0.29099488],0
[-2.12370083],[-0.50846921],0
[-1.18396114],[-0.94858658],0
[2.07916666],[-0.00575897],1
[0.220055],[-1.0813145],0
[0.76960568],[0.95099741],1
[0.26485686],[1.07098976],1
[-1.73638152],[0.63928946],1
[0.5779482],[0.84554337],1
[-1.79249305],[0.59809838],1
[-0.09334413],[-0.98566447],0
[2.40386032],[0.02994109],1
[1.8941962],[0.53475671],1
[0.58075586],[1.05640913],1
[2.12626364],[0.04734675],1
[1.65608889],[0.74454922],1
[2.1237731],[-0.29722229],0
[2.62929636],[-0.26019002],0
[-1.33187269],[0.74855671],1
[-0.70130448],[-0.94364319],0
[-1.44480559],[-0.79203581],0
[-1.86000902],[0.32012366],1
[-1.5701111],[0.70263506],1
[-1.46424255],[0.71122858],1
[-0.12742277],[-1.0006589],0
[1.85829952],[0.39502],1
[-1.582219],[1.04604973],1
[1.46025992],[-0.67551355],0
[-1.76014461],[0.22908849],1
[-1.24327773],[0.65566747],1
[-1.60596098],[-0.85075732],0
[-0.70287918],[0.97890604],1
[-1.35173161],[1.06171257],1
[0.09203752],[-0.89123917],0
[1.77610246],[0.56191551],1
[-0.35360201],[-1.19564997],0
[2.05063701],[-0.38071571],0
[-1.52068386],[-0.64837969],0
[1.56573115],[0.63723049],1
[-1.89887761],[-0.40189168],0
[0.65298746],[1.1402169],1
[0.25024687],[1.05526455],1
[-1.83088628],[-0.28553058],0
[-0.5882908],[-0.80637839],0
[0.84913742],[-0.84443266],0
[0.04215181],[-0.97587963],0
[0.74465673],[0.90133081],1
[-1.76742471],[0.16351632],1
[-0.48357587],[1.06159152],1
[1.61725752],[0.51837486],1
[-1.51307699],[0.63415966],1
[0.7495184],[0.84531574],1
[-1.32944756],[-0.87541337],0
[-0.8109739],[-0.91657979],0
[-1.81361717],[-0.5908592],0
[-2.02465684],[-0.21817385],0
[-2.04827032],[0.30895415],1
[1.62380872],[0.81864874],1
[1.71201182],[0.20619154],1
[1.56934834],[0.43087261],1
[1.95790026],[-0.14613031],0
[-1.03085368],[-0.72923265],0
[-1.44866539],[-0.66244081],0
[-0.94069914],[0.8623607],1
[1.89259626],[-0.28034716],0
[-2.2185359],[-0.25076418],0
[2.1908263],[-0.12059135],0
[1.37128824],[0.70473899],1
[-0.71540853],[0.96725375],1
[-0.63533828],[0.94322753],1
[-0.7011458],[0.92018065],1
[0.40782957],[0.98492201],1
[1.94667185],[-0.56540143],0
[-1.52344164],[-0.80010045],0
[-1.28266104],[-0.89780114],0
[-1.11227457],[-0.99388596],0
[-1.01944806],[0.7754989],1
[-1.47231197],[0.54016774],1
[-0.12361107],[-1.20166524],0
[-1.71233873],[-0.5743551],0
[0.11887015],[1.11884665],1
[-1.67882646],[0.0073753],1
[-1.93086745],[-0.21608432],0
[-1.25304472],[0.81009534],1
[-1.87073364],[-0.12548133],0
[-1.91984451],[0.27112453],1
[-1.96262923],[0.25666318],1
[-2.11968131],[-0.64003776],0
[-1.49382387],[-0.33787802],0
[0.77484069],[1.16383371],1
[2.38095746],[-0.21992253],0
[-1.81616694],[0.49492785],1
[-1.47977881],[-0.46819459],0
[1.83296953],[0.92494395],1
[-0.80797994],[0.83499426],1
[-1.91101638],[0.79456696],1
[0.05311979],[-0.90260197],0
[0.92036712],[0.79179836],1
[-1.84317407],[0.30007626],1
[-2.06370321],[-0.1770068],0
[-1.78240707],[-0.36738778],0
[-0.68481085],[0.71274414],1
